MM 	 DD 	 Description 	    Progress
3	31	 LCAS   WH、DD模組討論會議 	 Closed
3	31	 更新系統架構圖：Review並更新各模組功能，各模組data flow需增加回傳 	 Closed
3	31	 需新增一個MRD文件的範本在軟體開發文件repo中 	 Closed
3	31	 LINE   OA rich menu設定預設文字訊息，使用六格頁面，加到系統架構圖裡面 	 Closed
3	31	 需在Data  layer新增一個Account頁面以儲存帳戶 	 Closed
3	31	 思考申請一個客服email:   service.LCAS@gmail.com要加在哪個階段？ 	 Closed
3	31	 DD要負責回傳訊息給使用者 	 Closed
3	31	 新增一個account   storage供AM儲存使用者帳號資料 	 Closed
3	31	 新增同義詞欄位於BK中 	 Closed
3	31	 需決定AM的data   table 	 Closed
3	31	 調用AM註冊後，需要在Master ledger中生成一個user ledger 	 Closed
3	31	 Quick win: 先把WH, DD, BK模組寫好 	 Closed
3	31	 Review DD, WH的MRD 	 Closed
4	1	 Review AM的MRD 	 Closed
4	1	 把General ledger從google sheet裡面刪掉 	 Closed
4	1	 在google sheet新增一個tab: 998. Error log 	 Closed
4	1	 unit test想法：每個模組都寫一個test code去測試？	 Closed
4	1	 Project charter(各個階段各模組開發什麼功能？)	 Closed
4	1	 設定LCAS專案的各Phase(先開發哪些階段？)	 Closed
4	1	 思考使用者可以新增科目代碼要加在哪個模組？要加在哪個階段做？	 Closed
4	1	 思考設定rich menu指令要放在哪個階段？	 Closed
4	1	 subject code要有範本。每個使用者一個subject code嗎？(也許放在下個階段？)	 Closed
4	1	 思考使用者需求生成的報表要存在哪裡/P1階段先放在我這邊，以後再考慮BYOL 	 Closed
4	2	 建立新文件紀錄新功能的想法	 Closed
4	2	 更新WBS 	 Closed
4	2	 開發WH模組的test plan 	 Closed
4	2	 Update WBS並全部轉譯成英文 	 Closed
4	2	 開發WH模組的test code 	 Closed
4	2	 建立WH模組的test runner 	 Closed
4	2	 測試與更新WH模組代碼 	 Closed
4	4	 review WH模組代碼 	 Closed
4	4	 review and update WH_test plan and WH_test code 	 Closed
4	4	 在我的macbook建立Cursor AI & github local repo(要記得備份到網路上) 	 Closed
4	4	 使用Cursor AI來串接gitgub來編寫代碼/現在用github copilot 	 Closed
4	5	 將project LCAS設定為private 	 Closed
4	6	 將QM放在phase 2 	 Closed
4	7	 依照WH_testcode修改WH_Test plan 	 Closed
4	5	 研究windsurf, cursor, aider, visual studio、firebase studio等IDE/考慮用Cursor跟firebase studio	 Closed
4	9	 Develop DD module、test code、test plan 	 Closed
4	10	 Study LINE Messaging API/X-Line signature驗證的問題還沒解決	 Open
4	11	 用firebase studio開發/在辦公室不能用	 Closed
4	11	 改DD的代碼，加入日誌(log)功能	 Closed
4	11	 改WH的代碼，加入日誌(log)功能	 Closed
4	11	 將project docs寫好的log欄位貼到google sheet(production/sandbox)	 Closed
4	11	 用firebase studio開發/在辦公室不能用	 Closed
4	11	 改DD的代碼，加入日誌(log)功能	 Closed
4	11	 改WH的代碼，加入日誌(log)功能	 Closed
4	11	 將project docs寫好的log欄位貼到google sheet(production/sandbox)	 Closed
4	14	 修改DD的測試與模組代碼，將LINE Messaging API的timestamp格式加上去，並且加入DD模組需負責輸出日期時間格式	 Closed
4	14	 修改DD的MRD將LINE Messaging API的timestamp格式加上去，並且加入DD模組需負責輸出日期時間格式	 Open
4	14	 修改DD的測試與模組代碼，將LINE Messaging API的timestamp格式加上去，並且加入DD模組需負責輸出日期時間格式	 Closed
4	15	 BK test code要寫入test ledger，不能用寫在code裡面的模擬環境來測試(No hard-coded)	 Closed
4	15	 DD同義詞功能放在P2階段 	 Closed
4	15	 要有error code文件來解釋error code及其觸發條件	 Closed
4	16	 需要撰寫一個SRS來整合所有的MRD，此文件的功用是描述LCAS的系統概述、功能需求(模組)、非功能需求、系統架構、測試計畫等 	 Closed
4	16	 需要data flow diagram (DFD)	 Closed
4	16	 如何做一個diag？Methodology and framework? 只要有出問題就用一個diag去檢測? 	 Open
4	16	 已解Issue：1. 記帳消息解析功能問題：發現 DD_processData 函數中嘗試調用未正確實現的parseBookkeepingMessage 函數，導致記帳功能失效。2. 科目代碼查詢機制：確認科目代碼不應硬編碼，而應從"997. 科目代碼_測試"表格中動態查詢。3. 修復方案設計：提供了一個直接內嵌解析邏輯的DD_processData 實現，避免依賴外部函數，使簡單格式記帳（如"早餐888"）可以正常工作。4. 函數重複定義問題：發現模組中有重複定義的函數，如 formatDate 和 formatTime，需要整理。	 Closed
4	16	 未解Issue：1. 測試代碼分離：測試函數不應與主模組混合，需要建立單獨的測試文件。2. 完整系統測試：尚未執行全面測試以驗證修復方案能否解決所有問題。3. 科目代碼查詢實現：雖然確定了方向，但具體的查詢科目代碼的實現尚未完全整合到系統中。4. log function：DD已成功導入，待確認WH, BK 	 Closed
4	17	 為每個模組寫RESTful API文件	 Open
4	18	 解DD_GetSubjectCode以及DD_ProcessUserMesaage的bug	 Closed
4	22	 解決WH-DD的issue，WH-DD-BK已初步打通 	 Closed
4	28	 解決收支ID錯誤 	 Closed
4	29	 設計BK模組費用種類功能 	 Closed
4	29	 設計DD模組同義詞功能 	 Closed
4	30	 開發測試DD模組同義詞功能 	 Closed
4	30	 新增同義詞 	 Closed
4	30	 提出Roadmap的架構圖(Architecture diagram_v2.0 	 Closed
5	7	 開發UID Library欄位 	 Closed
5	8	 Review AM模組MRD 	 Closed
