MM 	 DD 	 Description 	    Progress
9	19	 目前的問題在於BL需要有對應API端點實作的函數 	 Open
9	19	 需盤點0090 Sprint計劃中P1-2會用到的API端點。現在沒有一個文件能明確指出P1-2需要什麼API端點。 	 Open
9	19	 需修改0081文件(2.2部分) 	 Open
9	19	 有什麼Task是可以在假日做的？ 	 Open
9	19	 82資料夾的LLD需要全面修改成API gateway，將內容移動到72資料夾 	 Open
10	15	 7598文件中createdat的時間需要隨系統時間而定 	 Open
10	17	 APP端與地端需具有相同的業務邏輯：

1. APP端也必須跟地端一樣有業務邏輯以及帳本，連網後可以倒(備份)到Firebase 
2. 若有需驗證的部分則設置開關：若無連到BL層時由PL層驗證，有連到BL層時則由BL層去驗證     Open
10	17	 衝突處理：檢測到已存在帳本時顯示示警訊息，繼續使用現有帳本
=>不可繼續使用現有帳本，需要跳出錯誤訊息。 	 Open
10	17	 要如何確認PL層記帳到Firebase的資料欄位是否正確？ 	 Open
10	22	 要把index.js改名成LWS.js (LINE Webhook service) 	 Open
10	22	 如果AI一直將你要求刪除的東西加回去，表示上層文件一定沒有刪除乾淨 	 Open
10	23	 為什麼跑一次7571會造成Firebase讀取數這麼高(2,000~4,000)? 	 Open
10	23	 Firebase裡面為什麼沒有分類帳本與協作的欄位？ 	 Open
10	23	 各功能的詳細測試應該放在各模組的ubit test裡面，SIT只測試整體 	 Open
11	6	 建立詳細的log 	 Open
11	7	 建立沖銷機制：當月的信用卡消費與下月的信用卡帳單相互沖銷 	 Open
11	7	 每週五要跟Chaaty研究一個與Porject LCAS相關的議題	 Open
11	12	 User story直接轉成test case(測試案例)再去寫test plan	 Open
11	12	 從SIT P3開始導入uesr story轉成test case	 Open
11	13	 帳戶管理跟帳號管理的英文名稱需要分開。帳戶管理指的是銀行帳戶、現金帳戶、花旗銀行等等；帳號指的是account，帳戶叫Wallet	 Open
11	14	 SIT P2的預算的CRUD有無成功？在Firebase如何呈現？	 Open
11	14	 我的精力要專心在撰寫文件與設計架構上	 Critical
11	14	 SIT_P1：LINE OA的部分，LBK串接firebase好像還沒打通	 Open
11	14	 希望有帳戶間的轉帳功能	 Open
11	14	 產品做好後找認識與不認識的人做不刪檔封測，並且送他們帳號。設計一個問題回饋表單讓封測使用者回饋問題及表達希望的功能	 Open
11	14	 0098憲法：編寫文件時須同步檢查上下層文件依賴	 Closed
11	17	 帳戶英文叫做wallet，需檢查各式文件及模組全部改名：8020文件	 Open
11	17	 找時間列出各模組每個函數的名稱來reivew是否有重複或沒用的函數	 Open
11	17	 四模式的部分應該要在0090的後面階段去驗證	 Open
11	18	 SIT_P3：要先確認1311以及7598的資料欄位與測試資料，再來去開發代碼	 Open
11	18	 記得要建置一個json儲存問卷，讓其他模組可以引用	 Open
11	18	 firebase資料欄位的整理是一個大問題，因為技術債的關係必須要重新整理(也許只管好P3就好，其他的放到後面再說？)，猜想是非1311的模組有hard-coding firebase的資料欄位，也許先優先清除？	 Open
11	19	 用AI開發方式：有多個initiatives分成不同的chat讓AI生成提案，當AI在執行A方案時我就可以去Review B方案：11/21嘗試過，不能同時用2個AI	 Closed
11	19	 P3前置作業的path是什麼？現在準備狀況如何？	 Open
11	20	 在collboration帳本下面的子集合有什麼？member, budgets, transactions, categories, wallets	 Open
11	20	 承上，collaborations集合應該要做member管理(屬於CM職責)	 Open
11	20	 1311應該要只有初始化firebase的功能，資料欄位(1311 27號函數)的部分統一放到03資料夾的json檔去？	 Open
11	24	 7582有點壞掉，但還是可以註冊	 Open
11	25	 擬定一個由firebase搬移到replit的計劃	 Open
11	27	 要重新reivew 6503 test plan, 把P2的協作帳本重新測一次(CRUD)部分；而且要新增0090關於7302新增功能	 Open
12	11	 index需修改跟各模組對應路徑	 Open
12	11	 需釐清從LINE記帳(而沒有從app端註冊)的user的註冊流程。流程應是：使用者加入LINE OA後記第一筆帳時，WH->LBK->AM註冊並在firebase開一個帳戶及帳本後->在firebase記帳	 Closed
12	11	 若已在LINE記過帳的user到app如何註冊及綁定？	 Open
12	17	 設定LINE OA裡面輸入?會跳出使用說明	 Open
12	17	 研究memo qucik reply功能	 Closed
12	24	 若要編輯工作日誌或任何文件，請在main branch裡面做	 Critical
01	02	 在LINE裡面圖文選單設定預設支付方式(user沒有輸入現金或信用卡的情況下)	 Ongoing


