time	log
44:17.6	檢測到需要回覆的訊息，啟用同步處理 [388ce569]
44:17.6	[WH 2.0.16 LOG] WH 2.0.3: 開始處理事件: message [388ce569] (INFO)
44:17.6	[WH 2.0.16 LOG] WH 2.0.7: 開始非同步處理請求 [388ce569] (INFO)
44:17.6	[WH 2.0.16 LOG] WH 2.0.3: 收到文本消息: "藍芽耳機77777" [388ce569] (INFO)
44:17.6	[WH 2.0.16 LOG] WH 2.0.16: 檢測到需要回覆的訊息，啟用同步處理 [388ce569] (INFO)
44:17.6	收到文本消息: "藍芽耳機77777" [388ce569]
44:17.6	開始AM用戶驗證流程 [388ce569]
44:17.6	處理消息事件: text [388ce569]
44:17.6	開始非同步處理請求 [388ce569]
44:17.6	[WH 2.0.16 LOG] WH 階段一: 開始AM用戶驗證流程 [388ce569] (INFO)
44:17.9	[2025-12-30T06:44:17.866Z] [INFO] [DL] AM [User: 帳號存在性驗證: Uae47d9d496e4596d70ed724a7d6e2948 (LINE)] [Location: Object.DL_info]
44:17.9	用戶帳本驗證流程完成: Uae47d9d496e4596d70ed724a7d6e2948 [388ce569]
44:17.9	🔍 AM_getUserDefaultLedger: 查詢用戶 Uae47d9d496e4596d70ed724a7d6e2948 預設帳本...
44:19.0	[WH 2.0.16 LOG] WH 階段一: AM驗證完成，轉發至LBK [388ce569] (INFO)
44:19.0	用戶帳本驗證通過: user_Uae47d9d496e4596d70ed724a7d6e2948 [388ce569]
44:19.0	AM驗證完成，轉發至LBK [388ce569]
44:19.0	✅ AM_getUserDefaultLedger: 找到用戶預設帳本: user_Uae47d9d496e4596d70ed724a7d6e2948
44:19.3	WH v2.5.0: 純粹轉發至LBK處理 - 藍芽耳機77777
44:19.3	[2025-12-30T06:44:18.981Z] [DEBUG] [DL] 階段二：檢查統計查詢關鍵字: "藍芽耳機77777" [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_checkStatisticsKeyword]
44:19.3	[2025-12-30T06:44:18.981Z] [INFO] [DL] 開始處理LINE OA請求 [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_processQuickBookkeeping]
44:19.6	[2025-12-30T06:44:19.581Z] [DEBUG] [DL] 用戶訊息解析: "藍芽耳機77777" [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_parseUserMessage]
44:19.6	[2025-12-30T06:44:19.581Z] [DEBUG] [DL] 階段二：未檢測到統計查詢關鍵字: "藍芽耳機77777" [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_checkStatisticsKeyword]
44:19.6	[2025-12-30T06:44:19.581Z] [INFO] [DL] 階段三：簡化解析結果: 科目="藍芽耳機", 金額=77777, 支付方式="未指定" [388ce569] [Code: INFO] [Location: LBK_parseInputFormat]
44:19.6	[2025-12-30T06:44:19.581Z] [DEBUG] [DL] 階段三：開始簡化格式解析: "藍芽耳機77777" [388ce569] [Code: DEBUG] [Location: LBK_parseInputFormat]
44:19.6	[2025-12-30T06:44:19.582Z] [DEBUG] [DL] 查詢科目代碼: "藍芽耳機" [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:19.6	[2025-12-30T06:44:19.582Z] [DEBUG] [DL] 提取金額: "藍芽耳機77777" [388ce569] [Code: DEBUG] [Location: LBK_extractAmount]
44:19.6	[2025-12-30T06:44:19.582Z] [DEBUG] [DL] 開始同義詞匹配，輸入: "藍芽耳機" [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:21.0	[2025-12-30T06:44:20.983Z] [DEBUG] [DL] 查詢categories集合結果: 11 筆資料 [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:21.0	[2025-12-30T06:44:20.984Z] [DEBUG] [DL] 比較同義詞: "口香糖" vs "藍芽耳機" [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:21.0	[2025-12-30T06:44:20.984Z] [DEBUG] [DL] 處理同義詞匹配: "藍芽耳機"，科目: "生鮮雜貨"，同義詞數量: 2，同義詞內容: [Pchome, 口香糖] [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:21.0	[2025-12-30T06:44:20.984Z] [DEBUG] [DL] 比較同義詞: "香腸飯" vs "藍芽耳機" [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:21.0	[2025-12-30T06:44:20.984Z] [DEBUG] [DL] 處理同義詞匹配: "藍芽耳機"，科目: "餐飲費用"，同義詞數量: 8，同義詞內容: [滷蛋, 雞排飯, 雞腿飯, 香腸飯, 火雞肉飯, 肉燥飯, 炸雞排, 滷肉飯] [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:21.0	[2025-12-30T06:44:20.984Z] [DEBUG] [DL] 比較同義詞: "停車費" vs "藍芽耳機" [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:21.0	[2025-12-30T06:44:20.984Z] [DEBUG] [DL] 比較同義詞: "雞排飯" vs "藍芽耳機" [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:21.0	[2025-12-30T06:44:20.984Z] [DEBUG] [DL] 比較同義詞: "滷蛋" vs "藍芽耳機" [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:21.0	[2025-12-30T06:44:20.984Z] [DEBUG] [DL] 處理同義詞匹配: "藍芽耳機"，科目: "生活家用"，同義詞數量: 2，同義詞內容: [香菸, 腳踏車] [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:21.0	[2025-12-30T06:44:20.984Z] [DEBUG] [DL] 比較同義詞: "香菸" vs "藍芽耳機" [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:21.0	[2025-12-30T06:44:20.984Z] [DEBUG] [DL] 處理同義詞匹配: "藍芽耳機"，科目: "交通費用"，同義詞數量: 1，同義詞內容: [停車費] [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:21.0	[2025-12-30T06:44:20.984Z] [DEBUG] [DL] 比較同義詞: "pchome" vs "藍芽耳機" [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:21.0	[2025-12-30T06:44:20.984Z] [DEBUG] [DL] 比較同義詞: "腳踏車" vs "藍芽耳機" [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:21.0	[2025-12-30T06:44:20.984Z] [DEBUG] [DL] 比較同義詞: "雞腿飯" vs "藍芽耳機" [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:21.0	[2025-12-30T06:44:20.985Z] [DEBUG] [DL] 比較同義詞: "肉燥飯" vs "藍芽耳機" [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:21.0	[2025-12-30T06:44:20.985Z] [DEBUG] [DL] 比較同義詞: "炸雞排" vs "藍芽耳機" [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:21.0	[2025-12-30T06:44:20.985Z] [DEBUG] [DL] 比較同義詞: "滷肉飯" vs "藍芽耳機" [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:21.0	[2025-12-30T06:44:20.984Z] [DEBUG] [DL] 比較同義詞: "火雞肉飯" vs "藍芽耳機" [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:21.0	[2025-12-30T06:44:20.985Z] [DEBUG] [DL] 處理同義詞匹配: "藍芽耳機"，科目: "運動嗜好"，同義詞數量: 0，同義詞內容: [] [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:21.0	[2025-12-30T06:44:20.985Z] [DEBUG] [DL] 處理同義詞匹配: "藍芽耳機"，科目: "娛樂消遣"，同義詞數量: 0，同義詞內容: [] [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:21.6	[2025-12-30T06:44:21.581Z] [DEBUG] [DL] 處理同義詞匹配: "藍芽耳機"，科目: "寵物生活"，同義詞數量: 0，同義詞內容: [] [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:21.6	[2025-12-30T06:44:21.581Z] [DEBUG] [DL] 處理同義詞匹配: "藍芽耳機"，科目: "醫療費用"，同義詞數量: 0，同義詞內容: [] [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:22.3	[2025-12-30T06:44:22.283Z] [DEBUG] [DL] 處理同義詞匹配: "藍芽耳機"，科目: "財務收入"，同義詞數量: 0，同義詞內容: [] [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:23.7	[2025-12-30T06:44:23.682Z] [DEBUG] [DL] 處理同義詞匹配: "藍芽耳機"，科目: "財務支出"，同義詞數量: 0，同義詞內容: [] [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:25.4	[2025-12-30T06:44:23.684Z] [DEBUG] [DL] 處理同義詞匹配: "藍芽耳機"，科目: "其他"，同義詞數量: 0，同義詞內容: [] [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getcategoryId]
44:26.6	[2025-12-30T06:44:26.583Z] [INFO] [DL] 需要新科目歸類: 藍芽耳機 [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_parseUserMessage]
44:27.0	[2025-12-30T06:44:26.982Z] [INFO] [DL] 觸發新科目歸類流程: 藍芽耳機 [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_processQuickBookkeeping]
