MM 	 DD 	 Description 	    Progress
9	19	 目前的問題在於BL需要有對應API端點實作的函數 	 Open
9	19	 需盤點0090 Sprint計劃中P1-2會用到的API端點。現在沒有一個文件能明確指出P1-2需要什麼API端點。 	 Open
9	19	 需修改0081文件(2.2部分) 	 Open
9	19	 有什麼Task是可以在假日做的？ 	 Open
9	19	 82資料夾的LLD需要全面修改成API gateway，將內容移動到72資料夾 	 Open
10	15	 7598文件中createdat的時間需要隨系統時間而定 	 Open
10	17	 APP端與地端需具有相同的業務邏輯：

1. APP端也必須跟地端一樣有業務邏輯以及帳本，連網後可以倒(備份)到Firebase 
2. 若有需驗證的部分則設置開關：若無連到BL層時由PL層驗證，有連到BL層時則由BL層去驗證     Open
10	17	 衝突處理：檢測到已存在帳本時顯示示警訊息，繼續使用現有帳本
=>不可繼續使用現有帳本，需要跳出錯誤訊息。 	 Open
10	17	 要如何確認PL層記帳到Firebase的資料欄位是否正確？ 	 Open
10	22	 要把index.js改名成LWS.js (LINE Webhook service) 	 Open
10	22	 如果AI一直將你要求刪除的東西加回去，表示上層文件一定沒有刪除乾淨 	 Open
