
序號,編號,中文,族語,備註,級別,類別
1,01-01,一,cecay,,初級,數字計量
2,01-02,二,tosa,,初級,數字計量
3,01-03,三,tolo,,初級,數字計量
4,01-04,四,sepat,,初級,數字計量
5,01-05,五,lima,,初級,數字計量
6,01-06,六,enem,,初級,數字計量
7,01-07,七,pito,,初級,數字計量
8,01-08,八,falo,,初級,數字計量
9,01-09,九,siwa,,初級,數字計量
10,01-10,十,polo',"同moetep，數數用polo'，數量用moetep。",初級,數字計量
11,01-11,十一,safaw cecay,另作cecay ko safaw。,初級,數字計量
12,01-12,十二,safaw tosa,另作tosa ko safaw。,初級,數字計量
13,01-13,十三,safaw tolo,另作tolo ko safaw。,初級,數字計量
14,01-14,十四,safaw sepat,另作sepat ko safaw。,初級,數字計量
15,01-15,十五,safaw lima,另作lima ko safaw。,初級,數字計量
16,01-16,十六,safaw enem,另作enem ko safaw。,初級,數字計量
17,01-17,十七,safaw pito,另作pito ko safaw。,初級,數字計量
18,01-18,十八,safaw falo,另作falo ko safaw。,初級,數字計量
19,01-19,十九,safaw siwa,另作siwa ko safaw。,初級,數字計量
20,01-20,二十,tosa polo',,初級,數字計量
21,01-21,二十一,tosa polo' ira ko cecay,,初級,數字計量
22,01-22,二十二,tosa polo' ira ko tosa,,初級,數字計量
23,01-23,二十三,tosa polo' ira ko tolo,,初級,數字計量
24,01-24,二十四,tosa polo' ira ko sepat,,初級,數字計量
25,01-25,二十五,tosa polo' ira ko lima,,初級,數字計量
26,01-26,三十,tolo polo',,初級,數字計量
27,01-27,三十一,tolo polo' ira ko cecay,,高級,數字計量
28,01-28,四十,sepat polo',,初級,數字計量
29,01-29,五十,lima polo',,初級,數字計量
30,01-30,六十,enem polo',,初級,數字計量
31,01-31,七十,pito polo',,初級,數字計量
32,01-32,八十,falo polo',,初級,數字計量
33,01-33,九十,siwa polo',,初級,數字計量
34,01-34,百,smo'ot,,中高級,數字計量
35,01-35,一百,cecay so'ot,,高級,數字計量
36,01-36,兩百,tosa so'ot,,中級,數字計量
37,01-37,一千,cecay patek,,中高級,數字計量
38,01-38,一些,pinapina,,高級,數字計量
39,01-39,一次,kinacecay,,中高級,數字計量
40,01-40,一串,cecay falilingan,faliling原指香蕉串。,中高級,數字計量
41,01-41,種類,kahirahira,,中高級,數字計量
42,01-42,一雙,無此詞彙,阿美族沒有一雙筷子的說法，'alapit就是指一雙。,中高級,數字計量
43,01-43,全部,maemin,,初級,數字計量
44,01-44,一點點,miming,,中高級,數字計量
45,01-45,一半,pecih,"pecih為切半（一半）之意，makilatosa是一分為二（計算時使用）。",中級,數字計量
46,02-01,你,kiso,,初級,代名詞、指示詞
47,02-02,我,kako,,初級,代名詞、指示詞
48,02-03,他,cingra,"同其他方言ciira、cinira。",初級,代名詞、指示詞
49,02-04,你們,kamo,,初級,代名詞、指示詞
50,02-05,我們,kami,,初級,代名詞、指示詞
51,02-06,他們,cangra,,初級,代名詞、指示詞
52,02-07,你們的,namo,,初級,代名詞、指示詞
53,02-08,我們的,niyam,,初級,代名詞、指示詞
54,02-09,他們的,nangra,,初級,代名詞、指示詞
55,02-10,你的,miso,屬格時會使用no miso同iso。,初級,代名詞、指示詞
56,02-11,我的,mako,屬格時會使用no mako同ako。,初級,代名詞、指示詞
57,02-12,他的,ningra,同nira。,初級,代名詞、指示詞
58,02-13,我們(排除式),kami,,高級,代名詞、指示詞
59,02-14,咱們(包含式),kita,,初級,代名詞、指示詞
60,02-15,咱們的,mita,,初級,代名詞、指示詞
61,02-16,那個,ora,,初級,代名詞、指示詞
62,02-17,這個,oni,,初級,代名詞、指示詞
63,02-18,這裡,ini,,初級,代名詞、指示詞
64,02-19,那裡,iraw,,初級,代名詞、指示詞
65,02-20,(像)這樣,matini,,中高級,代名詞、指示詞
66,03-01,多少,pina,,中級,疑問詞
67,03-02,什麼,maan,,初級,疑問詞
68,03-03,如何,masamaan,,中級,疑問詞
69,03-04,何時(未發生),ano hacowa,,高級,疑問詞
70,03-05,誰,cima,,初級,疑問詞
71,03-06,哪一個,icowaay,,初級,疑問詞
72,03-07,哪裡,icowa,,初級,疑問詞
73,03-08,是誰的,nimaay,,高級,疑問詞
74,03-09,怎麼,mamanay,,初級,疑問詞
75,03-10,多少(歲；物),pina,,初級,疑問詞
76,03-11,多少(程度大小),papina,,初級,疑問詞
77,03-12,什麼地方,sakacowa,,初級,疑問詞
78,03-13,何時(已發生),ihacowa,hacowa指何時；hakowa指多少。,初級,疑問詞
79,03-14,為什麼,naw,,初級,疑問詞
80,04-01,爸爸,mama,,初級,親屬稱謂
81,04-02,媽媽,ina,,初級,親屬稱謂
82,04-03,堂、表兄弟姐妹,malikaka,"同malikaka；為了區隔差異，另稱親兄弟姊妹為malakaka。",中高級,親屬稱謂
83,04-04,男性長輩(祖父；外公；岳父),akong,"閩南語借詞。阿美族父之輩通稱mama，母舅稱faki。",初級,親屬稱謂
84,04-05,女性長輩(祖母；外婆；岳母),ama,"閩南語借詞。阿美族女性母之輩以上或當母親者均稱ina。另作mamo",初級,親屬稱謂
85,04-06,親戚,malinaay,,中高級,親屬稱謂
86,04-07,配偶,ramod,,中高級,親屬稱謂
87,04-08,女婿,kadafo,,中高級,親屬稱謂
88,04-09,舅子,ali,,高級,親屬稱謂
89,04-10,弟媳,ali,,中高級,親屬稱謂
90,04-11,嫂嫂,ali,,中高級,親屬稱謂
91,04-12,媳婦/女婿,kadafo,,中高級,親屬稱謂
92,04-13,孫子/孫女,sona,"閩南語借詞。另有teloc原指末稍，亦可指孫子、後代之意。",中高級,親屬稱謂
93,04-14,夫妻,malaramod,,中高級,親屬稱謂
94,04-15,丈夫,fa'inay,,高級,親屬稱謂
95,04-16,姻親,cingki,閩南語借詞。,高級,親屬稱謂
96,04-17,兄弟姊妹,malakaka,,初級,親屬稱謂
97,04-18,兄長,kaka,,高級,親屬稱謂
98,04-19,(哥哥；姊姊)通稱,kaka,,高級,親屬稱謂
99,04-20,姊姊,fafahiyan a kaka,"平常比自己年長的同輩不分男女通稱kaka，介紹時才加上男女性別。",初級,親屬稱謂
100,04-21,哥哥,fa'inayan a kaka,"平常比自己年長的同輩不分男女通稱kaka，介紹時才加上男女性別。",初級,親屬稱謂
101,04-22,(弟弟；妹妹)通稱,safa,,初級,親屬稱謂
102,04-23,弟弟,fa'inayan a safa,,初級,親屬稱謂
103,04-24,妹妹,fafahiyan a safa,,初級,親屬稱謂
104,04-25,(伯父；叔叔；舅舅)通稱,faki,faki是母舅的尊稱(叔叔、伯父均稱mama),初級,親屬稱謂
