
類別,會話編號,會話標題,角色,阿美語,中文翻譯
問候道別謝謝,會話1-1,問候語,A,Nga'ay ho?,你好嗎？
問候道別謝謝,會話1-1,問候語,B,Mamaan aca kiso hani?,我很好，你呢？
問候道別謝謝,會話1-1,問候語,A,Nga'ayay to kako aray.,我也很好，謝謝你。
問候道別謝謝,會話1-1a,問健康,A,Mamaan kiso?,你怎麼啦？
問候道別謝謝,會話1-1a,問健康,B,Adada ko mata ako.,我的眼睛痛。
問候道別謝謝,會話1-1b,問健康,A,Mamaan kiso?,你怎麼啦？
問候道別謝謝,會話1-1b,問健康,B,Adada ko fongoh ako.,我的頭很痛。
問候道別謝謝,會話1-2,道別語,A,Arayom!,再見了！
問候道別謝謝,會話1-2,道別語,B,Arayom!,再見了！
問候道別謝謝,會話1-3,謝謝,A,Aray!,謝謝！
問候道別謝謝,會話1-3,謝謝,B,Aka ka ngodo!,不客氣！
訊息問句,會話2-1,問姓名,A,Cima ko ngangan iso?,你叫什麼名字？
訊息問句,會話2-1,問姓名,B,Ci Lekal ko ngangan no mako.,我叫Lekal。(我的名字是Lekal。)
訊息問句,會話2-1a,問姓名,A,Cima ko ngangan no mama iso?,你爸爸叫什麼名字？
訊息問句,會話2-1a,問姓名,B,Ci Ofad Kacaw ko mama ako.,我爸爸叫Ofad Kacaw(全名)。
訊息問句,會話2-1b,問姓名,A,Cima kora tamdaw?,那個人是誰？
訊息問句,會話2-1b,問姓名,B,Ci Ohay cingra.,她是Ohay。
訊息問句,會話2-1c,問姓名,A,Cima kora fa'inayan?,那個男人是誰？
訊息問句,會話2-1c,問姓名,B,Ci Mayaw Dongi cingra.,他是Mayaw Dongi (全名)。
訊息問句,會話2-1d,問姓名(看不到對方),A,Cima sao?,誰呀？(有人在敲門時問)
訊息問句,會話2-1d,問姓名(看不到對方),B,Ci Ohay ato ci Ofad kami.,我們是歐嗨和歐發馹。
訊息問句,會話2-2,問關係,A,Cima kora fa'inayan?,那個男人是誰？
訊息問句,會話2-2,問關係,B,O singsi ako cingra.,他是我的老師。
訊息問句,會話2-2a,問關係,A,Cima kora fafahiyan?,那個女人是誰？
訊息問句,會話2-2a,問關係,B,O kaka ako cingra.,她是我的姊姊。
訊息問句,會話2-2b,問關係,A,Cima kora wawa?,那些小孩是誰？
訊息問句,會話2-2b,問關係,B,O widang ako cangra.,他們是我的朋友。
