查詢結果
Document ID	UID	來源	函數名稱	嚴重等級	操作類型	時間	程式碼位置	訊息	重試次數	錯誤代碼	錯誤詳情
/ledgers/user_Uae47d9d496e4596d70ed724a7d6e2948/log/amF2WMRVQu7CNHjF5bPT	"Uae47d9d496e4596d70ed724a7d6e2948"	""	"DD_distributeData"	"INFO"	"數據分發"	2025年7月11日 中午12:13:09 [UTC+8]	"DD_distributeData"	"數據分發完成，結果: {"success":true,"result":{"success":true,"message":"記帳成功！","data":{"id":"20250711-00001","date":"2025/07/11 12:13","subjectName":"餐飲","amount":33333,"rawAmount":"33,333","action":"支出","paymentMethod":"刷卡","remark":"午餐","userId":"Uae47d9d496e4596d70ed724a7d6e2948","userType":"J"}},"module":"BK","isIncome":false,"majorCode":"103","action":"支出","responseMessage":"記帳成功！\n金額：33333元 (支出)\n支付方式：刷卡\n時間：2025/07/11 12:13\n科目：餐飲\n備註：午餐\n收支ID：20250711-00001\n使用者類型：J","processId":"c6fa8cb7","userId":"Uae47d9d496e4596d70ed724a7d6e2948","userType":"J"}"	0	""	""
/ledgers/user_Uae47d9d496e4596d70ed724a7d6e2948/log/jYIXQa8swnfaGn2GkEAt	"Uae47d9d496e4596d70ed724a7d6e2948"	""	"DD_dispatchData"	"INFO"	"數據分發"	2025年7月11日 中午12:13:08 [UTC+8]	"DD_dispatchData"	"數據分發完成，結果: {"success":true,"result":{"success":true,"message":"記帳成功！","data":{"id":"20250711-00001","date":"2025/07/11 12:13","subjectName":"餐飲","amount":33333,"rawAmount":"33,333","action":"支出","paymentMethod":... [c14a37e3]"	0	""	""
/ledgers/user_Uae47d9d496e4596d70ed724a7d6e2948/log/cNo7Lc856e4Y3CD5Qb49	"Uae47d9d496e4596d70ed724a7d6e2948"	""	"DD_processForBK"	"INFO"	"訊息生成"	2025年7月11日 中午12:13:08 [UTC+8]	"DD_processForBK"	"生成回覆訊息: 記帳成功！ 金額：33333元 (支出) 支付方式：刷卡 時間：2025/07/11 12:13 科..."	0	""	""
/ledgers/user_Uae47d9d496e4596d70ed724a7d6e2948/log/Z1tUyFuvZEi5sbv1iWaP	"Uae47d9d496e4596d70ed724a7d6e2948"	""	"DD_processForBK"	"INFO"	"記帳結果"	2025年7月11日 中午12:13:08 [UTC+8]	"DD_processForBK"	"記帳成功: ID=20250711-00001, 金額=33333, 科目=餐飲, 使用者類型=J [c6fa8cb7]"	0	""	""
/ledgers/user_Uae47d9d496e4596d70ed724a7d6e2948/log/le6FF0ataCewU5R8nSoW	"Uae47d9d496e4596d70ed724a7d6e2948"	""	"DD_processForBK"	"INFO"	"模組調用"	2025年7月11日 中午12:13:08 [UTC+8]	"DD_processForBK"	"BK_processBookkeeping調用完成，結果: 成功 [c6fa8cb7]"	0	""	""
/ledgers/ledger_structure_001/log/7B3thy8UjkPUStHYXcVq	"Uae47d9d496e4596d70ed724a7d6e2948"	"BK"		"INFO"	"記帳新增"	2025年7月11日 中午12:13:08 [UTC+8]	"BK_saveToFirestore"	"BK模組成功新增記帳記錄: 20250711-00001"	0	null	"處理ID: c6fa8cb7"
/ledgers/user_Uae47d9d496e4596d70ed724a7d6e2948/log/eExcP9eT43AcbnyFA6Pj	"Uae47d9d496e4596d70ed724a7d6e2948"	""	"DD_processForBK"	"INFO"	"模組調用"	2025年7月11日 中午12:13:08 [UTC+8]	"DD_processForBK"	"開始調用BK_processBookkeeping [c6fa8cb7]"	0	""	""
/ledgers/user_Uae47d9d496e4596d70ed724a7d6e2948/log/JS1SuKnpq1JFMeDJoAVV	"Uae47d9d496e4596d70ed724a7d6e2948"	""	"DD_processForBK"	"INFO"	"記帳處理"	2025年7月11日 中午12:13:07 [UTC+8]	"DD_processForBK"	"開始處理記帳數據 [c6fa8cb7]"	0	""	""
/ledgers/user_Uae47d9d496e4596d70ed724a7d6e2948/log/hsukg4YIgQPyNRsQscnX	"Uae47d9d496e4596d70ed724a7d6e2948"	""	"DD_dispatchData"	"INFO"	"數據分發"	2025年7月11日 中午12:13:07 [UTC+8]	"DD_dispatchData"	"轉發到BK模組 [c14a37e3]"	0	""	""
/ledgers/user_Uae47d9d496e4596d70ed724a7d6e2948/log/9kkbgjh5uq1fl9Ypk4ab	"Uae47d9d496e4596d70ed724a7d6e2948"	""	"DD_dispatchData"	"INFO"	"數據分發"	2025年7月11日 中午12:13:07 [UTC+8]	"DD_dispatchData"	"開始分發數據至 BK [c14a37e3]"	0	""	""
/ledgers/user_Uae47d9d496e4596d70ed724a7d6e2948/log/Ac9VGDjbAHsS9yWy7qWb	"Uae47d9d496e4596d70ed724a7d6e2948"	""	"DD_distributeData"	"INFO"	"數據分發"	2025年7月11日 中午12:13:07 [UTC+8]	"DD_distributeData"	"開始分發數據至 BK"	0	""	""
/ledgers/user_Uae47d9d496e4596d70ed724a7d6e2948/log/g8ckSEqbgnCrUtdO8Zpj	"Uae47d9d496e4596d70ed724a7d6e2948"	""	"DD_distributeData"	"INFO"	"數據分類"	2025年7月11日 中午12:13:07 [UTC+8]	"DD_distributeData"	"數據分類結果: BK"	0	""	""
/ledgers/user_Uae47d9d496e4596d70ed724a7d6e2948/log/v2SdpXxwjN87765dk2WQ	"Uae47d9d496e4596d70ed724a7d6e2948"	""	"DD_distributeData"	"INFO"	"數據分類"	2025年7月11日 中午12:13:07 [UTC+8]	"DD_distributeData"	"開始分類數據"	0	""	""
